id,start_time,geom,goal
82,2024-01-01 00:01:08,"LINESTRING (-18.779780186611912 15.932998866513719, -17.559556550175774 15.484612815875877, -16.339434850798792 15.036243901861585, -15.1597762067753 14.58266567832411, -14.198156075554394 13.625633078598764, -12.782461099773949 13.559564022200657, -11.753564348906487 12.739955349576725, -10.3271134989765 12.704593569242716, -9.311504323298704 11.854177333245055, -7.905020806192226 11.924205147264933, -6.818190412848678 11.046698328425094, -5.446897149626423 11.047103750700515, -4.982713553409669 10.6266148251579, -3.738312561319966 9.580617454286816, -2.504613215183954 9.534562819163078, -1.2833536836009953 8.724108656766584, -0.0362440257713312 8.71792369206149, 1.169554504854498 7.862623120634387, 2.4337707193614744 7.907044037612513, 3.612175249200728 6.983077514492206, 4.901774838330771 7.052909592090031, 6.064304417316354 6.130847919066406, 7.369481566904103 6.198559791153632, 8.515760421279493 5.278976706412552, 9.837229328708183 5.343928255552465, 10.968285605896089 4.427175658707049, 12.30424363680866 4.489205607333586, 13.419843268546048 3.575816581409725, 14.770092215094854 3.6345076442946675, 15.870717493698805 2.7248557801120565, 17.231817715751607 2.7806845236245556, 18.318560992408546 1.874885341942984, 19.66610471766461 1.9344788917497415)",POINT (20 1.6829311166591814)
83,2024-01-01 00:01:09,"LINESTRING (1.2753260039914918 -18.85947801837359, 0.6457358362971324 -17.70325271761071, 0.0575625740264907 -16.562364706193854, -0.5684532386673844 -15.413117600463588, -1.1534947568965648 -14.641581103906223, -1.7743468267824811 -13.108773065359603, -2.153444975489029 -12.257933902604863, -1.5413988128667078 -11.539883873895128, -1.8769115822290934 -10.50225275936209, -2.5238985356924153 -9.383393262979723, -2.4171141824853466 -7.951531036408346, -2.6417299262127214 -7.463159125501015, -3.552069402431311 -7.702649126427458, -4.850890491228318 -7.020682651611031, -5.344564836461226 -5.74564053125845, -6.092190507172631 -4.735795532629654, -6.467395724323095 -3.5337822275321145, -6.066183552434761 -2.9619879621328193, -6.409446677267081 -1.7225436891901307, -7.323962737252842 -0.1742020838785732, -7.799925942475611 0.5719304795723048, -8.656819748379386 2.0643815521297686, -9.131249139474683 2.8059090731186327, -9.984526111949513 4.299364420506442, -10.384232294878826 4.901599515167094, -9.789664304174082 5.396975507995885, -10.08408643153066 6.350277881359055, -11.261670733048069 7.602408644915322, -11.507270151243098 8.548093446004708, -12.705205936707872 9.726270798463428, -13.128749711483795 10.2717420471257, -14.03245889253741 11.69439126097758, -14.531439095598438 12.461828789818254, -15.430167599630595 13.886266991475619, -15.91630337363986 14.669787497511555, -16.83457090273313 16.095568464121072, -17.321510838312854 16.857659785673672, -18.24092171248074 18.282395064509874, -18.72551808086766 19.046263467890693)",POINT (-19.34235288191829 20)
84,2024-01-01 00:01:09,"LINESTRING (18.78949204335828 -8.332648375467892, 16.93751866216833 -8.317212976336862, 15.869994285162177 -8.92197090177088, 14.486768159194222 -9.266059303331211, 13.45823158411494 -9.9164444310821, 12.0669205898242 -10.240775814296175, 11.05820139099458 -10.913703417988708, 9.612887709772982 -10.686972609868803, 8.304570505041923 -11.450813336484869, 7.2618472056245835 -11.71053322500321, 5.896968954532664 -12.306988790529076, 4.888665028412116 -12.785309649452952, 3.543245528262373 -13.385770888126192, 2.5697871839584456 -14.091026968329675, 1.15349154852075 -14.428656461254457, 0.2060029370457859 -15.17369654975638, -1.2285263610699786 -15.466606680353314, -2.1582524979817244 -16.29007605238956, -3.5362057473595003 -16.570020982062456, -4.570766253294549 -17.78915781105672, -6.115050086181933 -18.14795625897024, -7.011470765917844 -18.71181114853361, -8.58384974836363 -18.97176004954172, -9.411573270864881 -19.738793123753638, -10.875782817511354 -19.734537963212933)",POINT (-11.007175690700796 -20)
85,2024-01-01 00:01:09,"LINESTRING (19.922612299404566 -9.19720324899546, 18.84928461819958 -9.898107960134848, 17.74076927727527 -10.59435653773747, 16.659654637117637 -11.293727244619822, 15.5505337460442 -11.988724870967047, 14.466812495082314 -12.686923207448043, 13.421302296781102 -13.34749658107022, 12.345943856192898 -14.112819120894134, 11.217224238043105 -14.730484761648206, 10.133373184782203 -15.46326397664333, 8.968061989623857 -16.005874617530772, 7.636219762645236 -16.367280995825432, 6.573419530824534 -17.18840351818221, 4.611344052046917 -17.57603712815377, 3.4610857994220665 -18.547582367844786)",POINT (2.92335735273702 -20)
86,2024-01-01 00:01:10,"LINESTRING (-18.741668968605573 -7.39689879515996, -17.483376329551355 -7.723390590650889, -16.245145672887727 -8.044776353670969, -15.504543314761463 -7.576455393512564, -14.20935370832812 -7.9402600152317895, -12.998468027062524 -8.272278825964822, -11.7043413238579 -8.636799009767449, -10.49300026543277 -8.968260366489138, -9.198451506331912 -9.333140692872636, -7.987376255987662 -9.664570436669612, -6.693471747473653 -10.030015373030544, -5.484438666194116 -10.362435327804523, -4.2011443498512175 -10.740226321139072, -2.8288065840964585 -12.11404505711779, -1.5229846500489708 -12.490078423323887, -0.2660094977056084 -12.688287087454547, 1.0103373874783765 -13.083164984816257, 2.268106663537453 -13.270607467809633, 3.5410659251095504 -13.679457929857245, 4.802474261589946 -13.85107959211905, 6.070326465717766 -14.278932198250505, 7.278075978913623 -14.461827447235573, 8.115072223711547 -14.99753613445537, 8.90352278109515 -15.310524650251665, 10.40840006244364 -15.66225723239071, 11.392635787739797 -16.86776517732222, 13.011227272612832 -17.30023187478265, 14.026322141075047 -16.935333013681205, 15.5445200999438 -17.43466055834586, 16.736232924657607 -16.988785766377866, 18.088621186616177 -17.52991827117429, 19.35180075032575 -17.075037820153007)",POINT (20 -17.449240813510755)
87,2024-01-01 00:01:10,"LINESTRING (-5.325720504837024 -18.740867602998662, -5.002346341506631 -17.481815860538116, -4.678171454353859 -16.22354568533398, -4.336352033358848 -14.971854606237825, -3.646991368593449 -13.753970610926636, -2.978364766672211 -11.960247447073984, -3.0777529529184666 -10.806956391376474, -3.5298418141070265 -9.707792240626828, -3.9884708961265334 -8.581447530863494, -3.4629720180520103 -7.277642520860465, -3.937100233736352 -5.946530489357361, -3.4309273781481258 -4.417909446257683, -3.1201154718117845 -3.4478425855897528, -2.606187062712495 -1.9408126563053474, -2.3036821212581304 -0.9785576220649879, -1.7905873801834975 0.5282422624088938, -1.4903319611723052 1.4909508322424345, -0.9785313224768538 2.997395556437218, -0.7150677584029851 4.001483637445108, -0.1790098086037972 5.579187043472929, 0.1071265990512832 6.469074738151267, 0.6702252098270108 7.9941335906519395, 1.3730982007860966 9.058436442199772, 1.415982213178028 10.495598547926948, 2.2042070676484036 11.522089006891967, 2.128145219233902 12.996884913315595, 2.9508209854986216 14.033193989879187, 2.8651633768413403 15.487749979166363, 3.696150333164427 16.54260265161472, 3.600671132408658 17.973833404970478, 4.434517591979818 19.035802981030383)",POINT (4.623508466122041 20)
88,2024-01-01 00:01:10,"LINESTRING (11.642623641899451 -18.70805865330006, 11.787148921216652 -17.41611730759344, 11.888400124475442 -16.092320661311824, 12.06932724726741 -14.826038095346826, 12.166378168942167 -13.515378272856022, 11.284632479851947 -12.40955300495744, 11.377619312520517 -11.080352467555384, 11.680830602664757 -9.831347749692958, 11.748151988829202 -8.50670993834874, 12.062006414586744 -7.259437328386668, 12.11757244134515 -5.933056879121182, 12.4456727509963 -4.687087427246002, 12.486316645539226 -3.3581189456791725, 12.82976062894488 -2.114861954237985, 12.852062255152017 -0.7839727233711116, 13.208468536174557 0.4544844172682398, 12.908934781042513 1.9065315106112086, 13.57575344805172 3.1013569170346345, 13.2747333169423 4.481716864689503, 13.948402233779802 5.638511922855171, 13.651987953264067 7.03807969409403, 14.32936507174191 8.210204480727668, 14.032566816546625 9.608121962834, 14.71156702412116 10.787367635929524, 14.413175592099426 12.17805025671234, 15.093532383905448 13.363667243236227, 14.793742238436575 14.74755672243282, 15.474515484038289 15.93524366318469, 15.164601047263554 17.259084619623142, 15.84653492302926 18.455501383261783, 15.542976904937268 19.82164064729671)",POINT (15.972768375958873 20)
89,2024-01-01 00:01:11,"LINESTRING (18.982717066163055 -2.2693862512301273, 17.96585329613015 -1.4599634367346686, 16.90512140830527 -0.4748298868307037, 15.929876321958222 0.3180665779719871, 14.757227666246589 1.3734689306807006, 13.88894284063991 1.9008786221087273, 12.659872279212124 2.8823185292851967, 11.827096241736562 3.463178347299976, 10.656643751360532 4.49757117503425, 10.24885106426909 5.0560488209040795, 8.915574047373562 5.9933123631416105, 8.556999693425718 6.707070382309366, 7.3711123013254225 7.436299084839673, 6.98058501074345 8.60256658324157, 5.61187654532193 9.561080407332945, 4.26265532139103 10.48353254770748, 3.4692280458761795 11.080546308540612, 2.1455557949962594 11.995014089722542, 1.3586614402226136 12.59687100150457, 0.0317213377834142 13.507963832356864, -0.7529642616599116 14.113945712812233, -2.0851761406697746 15.017611665874067, -2.8631651043748443 15.632907157091719, -4.204388424499546 16.52395684517493, -4.969377784232703 17.157353382108262, -6.330349056175583 18.020771338402202, -7.339637457169667 17.948070093802787, -8.354390768112076 18.875353916471507)",POINT (-9.006934087826357 20)
90,2024-01-01 00:01:11,"LINESTRING (13.86218743350782 -18.943629162569575, 14.576754420865825 -17.84623773553102, 15.315031940978152 -16.789122611028425, 15.858706022467683 -15.6825844074818, 16.591248105778618 -13.953558903371995, 17.45223515995682 -13.216250036946015, 18.14385407271295 -11.8679572375184, 19.186079851575485 -11.278781372110343, 19.62435276394119 -9.892585472418162)",POINT (20 -9.793822654313319)
91,2024-01-01 00:01:12,"LINESTRING (-2.332136971267892 -18.718072743726214, -2.544143897812718 -17.436833700079518, -2.754891028988433 -16.156665919204972, -2.93248806862563 -14.90530786433463, -2.3920623144516724 -14.349969397958478, -1.3959268320621898 -14.208666570773431, -1.2354292863324052 -14.616644399369308, -1.3368732057753403 -14.059538465370885, -1.6914664408246107 -12.535005312400386, -1.8939992108190404 -11.537921970226595, -2.176019668325541 -10.030516183130862, -2.319090682980852 -9.104971379829603, -2.230308386640724 -9.152177337093686, -2.2873992622183463 -8.21007999520495, -2.695437060373899 -6.593025938601691, -2.861704098471232 -5.672794760232295, -3.2743726412646423 -4.05877142816288, -3.428389880438124 -3.1449865305531555, -3.7867792676087864 -1.6081584548837153, -3.7718624323535295 -0.9205069375027308, -4.29548710522863 0.6097435616131477, -4.375769807197554 1.5453571594951705, -4.890365094673278 3.1204087172980612, -4.942665196271424 4.056302734344094, -4.647131909097296 5.009995845529938, -5.250799239301811 6.401225526279822, -5.291731817268646 7.52903233487447, -5.942148138422978 8.90762912708601, -5.925830799434838 10.050063758229536, -6.651592405505199 11.398143456842664, -6.490215293288066 12.503697749882361, -7.016980858274483 13.05456502436633, -7.425784377451311 14.59845040329171, -7.639681182731077 15.600913120253368, -8.05216086146516 17.12212650581191, -8.236982821142698 18.13137117859786, -8.71729279123091 19.635607271115784)",POINT (-8.731496329819695 20)
92,2024-01-01 00:01:12,"LINESTRING (-18.201695339309076 -18.704431925778294, -18.307634790279426 -17.413878195720805, -18.41663539168144 -16.126258032838273, -18.52619745023375 -14.833906214032254, -18.635557554780245 -13.5412568657978, -18.741401538823734 -12.243905302993708, -18.849637357277032 -10.950226110279411, -18.954857397283092 -9.652694736430556, -19.063376477879142 -8.35902717041646, -19.16818015091545 -7.0614608106728465, -19.277213756952126 -5.7678356400974415, -19.381350454941778 -4.470215750601563, -19.491309477114257 -3.176716007712816, -19.594467016572676 -1.879189248804072, -19.706084239044884 -0.5856162205058792, -19.805824549393606 0.7122090322920036, -19.924246989757197 2.0052145293003356, -19.999725947199963 3.3049694709431012)",POINT (-20 3.018191099167703)
93,2024-01-01 00:01:12,"LINESTRING (18.702335798423007 -16.774836711067497, 17.412562214082456 -16.851843370948625, 16.29694214236383 -17.071879669269258, 14.815353649138387 -17.00962371617869, 13.703170505436418 -17.228217271344988, 12.223312282916245 -17.155710875639674, 11.13979236743887 -17.408469286985145, 9.67132900456622 -17.323025369498172, 8.650083337697186 -17.614007424656926, 7.228277934883623 -17.488227807229034, 6.103149292826382 -17.763339661437033, 4.665330823248388 -17.60835160625556, 3.5078416119244866 -17.91737599782532, 2.0685348289396357 -17.73588862163122, 0.9132533238456877 -18.074946698692077, -0.528191537873125 -17.85995820105381, -2.2024233013113657 -16.765907012902872, -3.0260886102077666 -16.197723399725067, -4.390001128927638 -16.47104614557134, -5.4732710620877345 -16.74358247851388, -6.4165715636656575 -18.00627463667918, -7.779086913633154 -18.361079736400697, -9.032651786687302 -18.156895002004337, -10.375491798329445 -18.575228286130077, -11.633628757077652 -18.289087901691783, -12.964190426621226 -18.817325638374196, -14.231884840423461 -18.382991613985016, -15.537423058405244 -18.947941256271733, -16.821507789756122 -18.513121051087854, -18.050297825499875 -19.076770923892152, -19.403656220410063 -18.648209768792313)",POINT (-20 -19.071501576017994)
94,2024-01-01 00:01:12,"LINESTRING (18.755291801599682 -3.3912773928174684, 17.511914605817868 -3.052020382953099, 17.183301509295493 -3.1167517921134156, 15.885259017375928 -2.936112772452663, 14.644827930009864 -2.4723405266393903, 13.373043930078364 -2.26215885062941, 12.136307306355231 -1.7887873353811288, 10.861841963872948 -1.588468528973868, 9.627845993906675 -1.1038858319162876, 8.350063505288864 -0.9153652750504293, 7.119597170479419 -0.4183449525981058, 5.840947451713235 -0.2432673723426619, 4.741822992380659 0.440797650127505, 3.281226528046569 0.4829649959537817, 2.233434156485087 1.1249795128742726, 0.7660299108653081 1.127537223547865, -0.2684350625532281 1.803506756685656, -1.753499714117531 1.7664497136672423, -2.772133018943677 2.501218541875157, -4.269190786577022 2.4111413936666968, -5.610935673654732 3.308929574910339, -6.9155025374001315 3.2074090978400935, -8.308784874048541 4.0075467041309505, -9.449416315254226 3.8401268056542675, -10.692928983117326 4.667400555092089, -11.97966820241579 4.495609008740389, -13.194621958407014 5.32123755806441, -14.506746157414915 5.151598351955782, -15.693812454392816 5.974108590809885, -17.035184110951498 5.808595623456438, -18.18914122173864 6.625363567061383, -19.544536261814095 6.462630229072456)",POINT (-20 6.8320426492968425)
95,2024-01-01 00:01:12,"LINESTRING (-19.106759659527413 -15.250524725672978, -18.229087148237245 -14.233668978758203, -17.271863633010305 -13.121720064905407, -16.32288329309819 -12.248908529764165, -15.421132535778138 -11.233731313208049, -14.504614870393773 -10.382500329405719, -13.61120680023101 -9.366379135988002, -12.69236388659758 -8.518121804200984, -11.802175590825204 -7.498920310175808, -10.879936447541358 -6.653958369072341, -9.993394604347795 -5.631232437956777, -9.067655163742476 -4.790042752429867, -8.206167707090724 -3.76407405935654, -7.8153592568333075 -3.245349753369543, -7.414340525158403 -3.726573321100659, -6.6123519717256745 -3.291705625889322, -5.652672080333561 -1.8693494791340801, -4.8710276671356825 -1.3792855616579678, -4.842189304941611 -0.2309792499439474, -4.032047155856071 1.0659342871238937, -2.930326389833217 2.7351291091006504, -1.9131563946261707 3.407904758663281, -1.1124457141079043 4.50861329565305, -0.2350744705032479 5.236285126899001, 0.7418398208237319 6.33544140315667, 1.3164055108267068 6.807472992188052, 1.432879759757123 6.390599506638314, 2.1902845303998584 6.741324917868382, 3.199442111267232 8.059841898881942, 4.0128459436664725 8.59571139590559, 4.997679931452394 9.937698316346358, 5.839668456966247 10.445770831909279, 6.790232626812503 11.820982025515194, 7.674129177930676 12.288259175491508, 8.572360516469205 13.714136148088157, 9.522227652518117 14.141347138278544, 10.345789035777667 15.560549487711697, 11.414902368850202 16.010368404264423, 12.116142217124763 17.390063172306256, 13.270818638126173 17.878469393067398, 13.874876730245964 19.20163273772723, 15.104984948577828 19.745013266809643)",POINT (14.933596760914423 20)
96,2024-01-01 00:01:13,"LINESTRING (-5.79587245662604 18.82650289559796, -6.22116678704651 18.31912083998385, -6.812571229972993 16.825631573908705, -7.2746824029853885 15.941206071718927, -7.857522157474149 14.446533249279064, -8.326678190516498 13.568053814773949, -8.903915445676322 12.067646276608793, -9.367517977213733 11.201095329966366, -9.872950737274824 9.690306971921405, -10.423884005818262 8.823143544008309, -10.918765917303105 7.306142748078887, -11.48375000595931 6.448130813157005, -11.959994333965552 4.922592779249047, -12.545686841484711 4.0748369421951365, -12.997929186824102 2.5387277024251644, -13.61127574023731 1.703332568431447, -14.03141003786786 0.152990172910686, -14.682655286862866 -0.6656633149322894, -15.057511102567318 -2.23597023823532, -15.763807278671866 -3.0302159744979105, -16.070360479441845 -4.630575598557564, -16.863920706548093 -5.386005733853857, -17.09949930303043 -6.971289169370303, -17.953468914209076 -7.7707020347908395, -18.08596610676953 -9.262558074178179, -19.026013508376682 -10.164615283566139, -19.11963266661091 -11.599175289961426)",POINT (-20 -13.045537807176423)
97,2024-01-01 00:01:19,"LINESTRING (18.89563703464914 6.14026872171443, 17.755873025467988 7.108148500468811, 16.62196332930596 7.4494769391124445, 15.584432123703545 8.40749938903457, 14.582731983188161 10.138567506842607, 13.438180321701488 10.879891494606829, 12.236123842459147 11.25758288381159, 11.103181348176438 12.025997145718673, 9.887100295339811 12.372676273385654, 8.822355455396128 13.195517179129645, 7.994494385280792 13.858802224758286, 6.585950217158885 15.278662544103032, 5.234777156806254 15.700169941884804, 4.163804660143413 16.229982239635724, 2.805863930347604 16.6282856424885, 1.7467469623754752 17.18810641305064, 0.3733456859208268 17.547776783267626, -0.6646875981570655 18.162046090257135, -2.0696224209095684 18.439512348255526, -3.0481891206219816 19.188862784742135, -4.548824213215405 19.206195537967805)",POINT (-5.701139384918622 20)
98,2024-01-01 00:01:21,"LINESTRING (-18.945609715470084 1.8899130851067556, -17.89121941263922 1.1294785951526856, -16.8368220441154 0.3690701497597253, -15.782028239732973 -0.3908426227087556, -14.726661954464536 -1.1512946288525998, -13.673148661811021 -1.9118477758618209, -12.618436531664656 -2.672670094173892, -11.578288608719468 -3.42562784286133, -10.559022303294368 -4.118230797514251, -9.469299685992222 -4.9358127635542095, -8.449295755602758 -5.637814131138078, -7.362611633986926 -6.459597294073046, -6.340739921278917 -7.158996328980072, -5.256195513458428 -7.983725076769443, -4.234199038688594 -8.678597063623725, -3.2600186765971104 -9.509313129690298, -2.1298708341773707 -10.209887249857601, -1.1540262575188 -11.033434293643658, -0.2236996980579988 -11.637803200459338, -0.0572101631967069 -11.596762934849519, 0.9248421558925601 -12.134391266091397, 2.0497511090496463 -13.125872970554587, 3.0194630683291264 -13.673718068180808, 4.108334761257298 -14.683822419967246, 4.3576287167923455 -15.150687208693482, 3.7222060234080434 -16.083681218907618, 4.070075938824154 -17.19870721938302, 5.237354144317351 -17.74052291451409, 6.51249239462251 -18.094572942104357, 7.6609675208945855 -18.696535322249893, 8.975161050184774 -18.962973279163954, 10.099523854296752 -19.758425651999087, 11.55456301382729 -19.61013380738592)",POINT (11.406119310287567 -20)
99,2024-01-01 00:01:22,"LINESTRING (-10.12795164282303 18.70146172714254, -10.189590292479762 17.402934007261806, -10.250931067456648 16.104609960965124, -10.31162185020296 14.806052951143505, -10.374077892146026 13.508095598317139, -10.43452174320673 12.209643207631453, -10.49625195426501 10.911920008121362, -10.557713873656214 9.61264999959893, -10.619594351197405 8.314850095809742, -10.681088046325792 7.015600254871603, -10.750816232321448 5.74825098251641, -11.221250887119867 5.39710819663663, -11.660347120687621 4.046456579702932, -11.396142282943181 2.7821022181864654, -11.796122827680938 1.256973522327671, -11.416255853858551 0.1709652269798292, -11.867255108315048 -1.342340827744732, -11.430058829983954 -2.4290641290651744, -11.91118141652207 -3.9116288916113575, -12.509958712457555 -4.401139089011888, -12.51787382015817 -5.697421791220497, -12.41164385321508 -7.000534977771101, -12.430057817336438 -8.296343950399756, -12.312263193098868 -9.59956113438729, -12.347050021064797 -10.896174835850323, -12.213691970786149 -12.2006486264225, -12.273425749834987 -13.49828549348167, -12.135931975536613 -14.79445654161506, -12.546592148112037 -15.741629795802567, -13.956884640234215 -16.661688004027027, -15.386700011153739 -18.060125705564804, -15.8502721660707 -19.200931795049584, -15.412194700859942 -19.909270588055733)",POINT (-11.96471171279781 -20)
100,2024-01-01 00:01:22,"LINESTRING (18.71981488290953 0.4921539961705227, 17.43919672224599 0.2681145242480256, 16.15936546813738 0.0424402478598536, 14.899010393813683 -0.184492512962264, 13.61634811380124 -0.4256552994458266, 12.338056043637227 -0.6383421945943464, 11.062874427878594 -0.8686981003125812, 9.80396000898106 -0.5235276105170177, 8.513533710558189 -1.1778604981288447, 7.243772000679133 -0.9821833546978412, 5.961768757688875 -1.6766370558275416, 4.684177145716725 -1.4387771443840927, 3.4109210368108593 -2.1798025102902843, 2.1240946901630187 -1.9209199561120183, 0.8600925243196424 -2.661776896387485, -0.4359888587029852 -2.403148507193246, -1.6933029818673255 -3.1437683852294684, -2.7615357608696716 -2.902426835667899, -4.227649979643955 -1.7436484436561206, -5.792671342106693 -1.5799667187714066, -6.866641441981205 -2.2874156715180733, -8.25342509080665 -2.3229175337115535, -9.264738396177034 -3.1559848281314213, -10.728533179397838 -3.0972783215219586, -11.755265597902618 -3.9380030181453147, -13.201681741285704 -3.8710573059350075, -14.245062756049258 -4.7192961024980065, -15.673714117519262 -4.644731149638252, -16.731854032776287 -5.49899409699746, -18.14249838758904 -5.417446903305876, -19.20581968254217 -6.273645246575012)",POINT (-20 -6.307833459709833)
101,2024-01-01 00:01:22,"LINESTRING (-4.107992440674721 18.756936177482135, -3.727516859965159 17.513861294030676, -3.346999377977018 16.270796454538495, -2.9676392696838265 14.956149450056381, -2.5717721012339774 13.730290029920695, -2.189659959195932 12.436146885738797, -1.8002235030762697 11.230879356677306, -1.4301794288179397 9.94206376338701, -1.037997294456491 8.744017450067517, -0.9310996157608697 7.570392543075606, -0.2867808307446615 6.244352391655266, -0.1642265862230736 5.093144407111684, 0.8998316274564997 4.2789383158265215, 1.4085852707412043 2.633085163524145, 1.6024050508685832 1.7722653469906238, 2.1158346804673944 0.1312390187654493, 2.303875230184693 -0.7312543049878055, 2.823688130996473 -2.370533948903347, 3.0043280600005877 -3.2351256874206724, 3.5325882932759423 -4.872034360087218, 3.7033374413572107 -5.73939940040892, 4.24319935836448 -7.373039873587906, 4.400038970102223 -8.244307934231577, 4.956747877983826 -9.87318461613425, 5.092301642879603 -10.750171728761531, 5.6505260133681245 -12.365880272384384, 5.523185588197443 -13.438475533465033, 6.312852951242936 -14.909940091873615, 6.2324012112493765 -15.940212503932605, 7.09658497725175 -17.29860648006779, 6.975340381057709 -18.486909471789062, 6.292709151509731 -18.847658810934544, 6.562517433351398 -19.51313585991924, 7.8160137122904025 -19.9987298236329)",POINT (7.755203796507436 -20)
102,2024-01-01 00:01:22,"LINESTRING (-18.73052972791282 -18.466781092591365, -17.461059455825517 -18.18670033943724, -16.191589183738355 -17.906619586285466, -14.922118911651799 -17.6265388331316, -13.652648639615187 -17.346458079999056, -12.383178369098605 -17.06637732708392, -11.113708350764284 -16.786296561138904, -9.84251190691574 -16.505153204472574, -8.578373199215058 -16.2231142433168, -7.336243759926007 -15.915795247526777, -6.56131624963848 -15.600461109040118, -4.84010477187651 -15.305966429973118, -4.020474668960566 -15.037683493871578, -2.296999505854946 -14.764004598065467, -1.4796852647651364 -14.485991168157788, 0.2463224285686656 -14.224480245294316, 1.0535052319488845 -13.95169885236206, 2.8308132191443818 -13.840195100688163, 3.662262979250309 -13.40411129071281, 5.39692295694984 -13.30636994313356, 6.210026612345427 -12.820383898460289, 7.874581764579504 -12.612383097859373, 8.740228723284314 -12.236686288248372, 9.902749468671033 -12.063620642679384, 11.074131075857577 -12.890515738903874, 12.261049956850702 -12.717531545852573, 13.523098179416007 -12.015292215932673, 14.735749273990113 -11.919036202890245, 15.951749365144915 -11.092825554044552, 17.189967432921758 -11.198186787832915, 18.319355785480465 -10.309487614460055, 19.66241066351194 -10.39769509778086)",POINT (20 -9.92173976730465)
103,2024-01-01 00:01:23,"LINESTRING (18.745137995427996 -6.849595208643807, 17.490281249451165 -7.189182855166861, 16.237996231599276 -7.5287646203517, 15.822277494155848 -8.023647325947667, 14.424974891667443 -8.709561745882803, 13.294367490804921 -8.662080809858521, 12.128869199203745 -9.088086152669069, 10.725825957290688 -9.239491874876311, 9.614295494294192 -9.750064278981947, 8.20726250966633 -9.883749432877986, 7.100441877026503 -10.413753938730405, 5.6880199276921575 -10.526982586014068, 4.587198188962725 -11.079801039391173, 3.1682813820911293 -11.167998954512374, 2.07551447179032 -11.74778109947572, 0.6891154273351134 -11.7390435928252, 0.2502523467839724 -12.04995526435037, 0.1536884079131232 -13.300457962655242, -0.8549038297016303 -14.140833385239151, -2.274865739335132 -14.069740216513853, -3.4119728174582837 -14.611839218291564, -4.840530589048126 -14.490889087831048, -5.967396403160006 -15.091224382124095, -7.407924330340528 -14.901360562768106, -8.520092312954882 -15.584641815781943, -9.96626838950495 -15.325352862824133, -11.024151267883987 -15.987599797531102, -11.946968415183548 -15.830680871877258, -13.55007381568568 -16.406706618456315, -14.517788071201851 -16.210541913868415, -16.043310362173248 -16.84434720607653, -17.131558002954154 -16.578824482318957, -18.492024946332435 -17.275536995545252, -19.757728367080798 -16.976749697230243)",POINT (-20 -17.33473200121686)
104,2024-01-01 00:01:24,"LINESTRING (18.732727991586962 9.840348215201216, 17.461530873606016 9.88065981299744, 15.59069864293949 10.587757235351186, 14.21564634027037 10.426406465240413, 12.795665404899191 10.196457144626507, 11.260690616357016 9.99247796089738, 9.87498462881422 9.608501183857216, 8.36449793135265 9.25528236254486, 7.1689751016040315 8.828385680617458, 5.745812048050807 8.463627567198897, 4.621850268316188 8.065780293161755, 3.2267615958166136 7.724772234764864, 2.1411052675881903 7.347840453937248, 1.8303371017435563 7.603007032384101, 0.527327289296365 7.733849378488881, -0.8523591481294517 6.903804137297795, -1.9593398252772456 6.96750806381151, -3.3217368184413445 6.087895084944894, -4.453908986740377 6.181419573251262, -5.78378756796751 5.294682782975687, -6.949921589544819 5.394448764710959, -8.238580604763971 4.501749318366711, -9.476030116922132 4.607737804660204, -10.71210152516896 4.063209065984631, -12.705661576960622 3.902839742545205, -13.77275376475632 3.3660965398543716, -15.13834716037061 2.985057623854928, -16.1826033839187 2.390930596878768, -17.585818528081386 2.1076376170880673, -18.552114273710252 1.3204439160959174)",POINT (-20 1.0167640479130364)
105,2024-01-01 00:01:24,"LINESTRING (18.776731934818734 8.011781140710418, 18.002363174662392 8.974681271628324, 16.703835042230285 9.085961209939528, 15.442803748083358 9.225824040642316, 14.181673899857921 9.378772463360814, 12.871760657551834 9.503035932383817, 11.598883200205746 9.691510668346872, 10.281675629603024 9.770229863066549, 9.019405196056363 9.958296250419682, 7.698838215522048 10.029806097196094, 6.4364027832958 10.223685600981323, 5.112928117910874 10.28746560224573, 3.8511367181291134 10.487440776978222, 2.529276995562679 10.548570589870696, 1.2687495140403109 10.757769980668971, -0.0582301261581049 10.804779993222711, -1.3180499710882634 11.024183379643572, -2.6449180644301213 11.056797554312249, -3.7967137465681757 11.112508743234581, -5.2861003187997575 11.218092660806457, -7.110626944419797 10.398884144979412, -8.48873673238218 10.474500755674717, -9.658112268685512 10.923400701296025, -11.002712454805984 10.937168969866464, -11.727719280596057 10.525124204098946, -13.051032878350608 10.914346563965223, -14.233349660455175 11.220290272897554, -15.542344040863558 11.537773969508999, -17.500119753982975 11.128977862482833, -18.858892925115832 11.520928878269876, -19.56596233832803 12.671353500659086)",POINT (-20 12.847036798320826)
