id,start_time,geom,goal
12,2024-01-01 00:00:11,"LINESTRING (18.726990109612544 9.425919083976648, 17.453980025116902 9.689443949626654, 16.18097012235806 9.952968739425653, 14.907960031477987 10.21649361218124, 13.634950144103152 10.48001842555217, 12.36193992331133 10.743543562656935, 11.088930403363667 11.00706818939966, 9.81593994773293 11.270549947268156, 8.543997915477725 11.530063289414397, 7.241413257441403 11.59391423785844, 5.614457423684568 11.912720856466631, 4.688641902573644 12.147889553052462, 3.0679234387930667 12.46481620461098, 2.140954596373574 12.700193241006634, 0.5124913081572151 13.017123515728427, -0.3906777756214643 13.25822431161285, -2.028336109907733 13.554812403431802, -2.9395118000256746 13.794076703405079, -4.544447957411089 14.081898795211808, -5.19351482258444 14.075928619921516, -6.054953864585307 13.092769589542534, -7.469181390551308 12.94293216094496, -8.330723288808786 13.62648455525407, -9.793138524071574 13.967014572623809, -10.800342347634096 14.471526683702518, -12.266965756119363 14.7660421780639, -13.256704546275191 15.322070857825823, -14.747052347025289 15.546226497038491, -15.702058467451863 16.205277263629295, -17.245548288402922 16.265614608220375, -18.177660615919834 17.11729104607185, -19.596983089832797 17.095682723235985)",POINT (-20 17.44276439016107)
13,2024-01-01 00:00:13,"LINESTRING (-18.70204786047759 15.281776641204509, -17.404095720955183 15.354716640582083, -16.106143581432775 15.427656639959658, -14.808191441910367 15.500596639337232, -13.51023930244687 15.573536638697393, -12.212287164538003 15.646476637775894, -10.914335058069526 15.719416635508562, -9.616383328436475 15.792356688227274, -8.318433505413326 15.865297592479388, -7.020486231705914 15.938240982222537, -5.722768643686138 16.011208931993995, -4.4290858894328515 16.082000200138783, -3.132254222192329 16.076732310531348, -1.8293614031882068 16.230466920859257, -0.532909245629503 16.26425399996962, 0.7678639025744582 16.38753942421463, 1.3966760975351016 17.01487080272499, 1.8359284499786825 18.624071350781325, 2.795078998469951 19.379043670700497, 4.122057838673983 19.20412226130665, 5.379638716757162 19.094609831066496, 6.70589370842716 18.914654298070257, 7.9641423038476775 18.811166909865793, 9.289584375684392 18.623893837058805, 10.548839470558736 18.529490533038835, 11.872994567267629 18.33064993617351, 13.133934860877508 18.251493688141792, 14.455747541674171 18.03167320319255, 15.719782403811712 17.983422687169647, 16.976691213993963 17.766562976546616, 18.417566930341323 18.144105403675457, 19.59389461759995 17.557275319631742)",POINT (20 17.456685299926566)
14,2024-01-01 00:00:15,"LINESTRING (19.3233048645917 18.85390922357491, 19.936881210565975 17.70781844682113)",POINT (20 17.589919731125203)
15,2024-01-01 00:00:15,"LINESTRING (3.5121328701636196 -18.702681822249865, 3.428673026734854 -17.40536364577968, 3.3452132199404914 -16.108045531942775, 3.261754685176188 -14.810730173940891, 3.1783235445185025 -13.513511381301967, 3.0948944949906227 -12.218273448216943, 3.006467277009806 -10.931503285784537, 2.919548327569002 -9.647612627676875, 2.8182681280463506 -8.361738452415063, 2.7460169673518493 -7.054520850586874, 2.652200539747772 -5.767091948524991, 2.581686503902763 -4.459696388985504, 2.4866183853498818 -3.172556762715693, 2.3974312110098617 -1.8904124757477436, 1.4726369048912957 -1.1575957061324496, 0.7878837560676463 0.5459837753772172, 0.9896811669403021 1.7869315403972255, 0.842296953451311 3.121486748532643, 1.1650986182350929 4.474204121700716, 0.8188357948789645 5.722235342669834, 1.202092844407726 7.073897197993308, 0.7819354861919827 8.321935114208491, 1.2563005393007725 9.673673151347057, 0.7359932133518168 10.92232453396815, 1.2117034398863962 12.2601332782859, 0.7074576962259808 13.398727825119671, 1.0280060589010398 14.552258449538547, 0.3489863107621598 15.676402140741232, 0.6110733339836805 17.117256761529315, 1.0821334240938874 19.060990897543128)",POINT (1.022288933093498 20)
16,2024-01-01 00:00:15,"LINESTRING (9.03542779170189 18.701125617840574, 8.98173113213555 17.402421668696384, 8.928436607861657 16.103794063189493, 8.87431107563152 14.804910488568403, 8.82182671498811 13.515964841854514, 8.808616642689163 12.258229642952053, 8.722983307999762 10.91990152162473, 8.719552932359914 9.697288951591437, 8.706421741669498 8.341585961503352, 8.60658898280659 7.096666937612138, 8.593877355704297 5.743996729366819, 8.489398570497263 4.4993216145236765, 8.481807383093278 3.146432991789713, 8.371643430704786 1.9020041252230526, 8.370409483038728 0.5488277623240827, 8.253072365391944 -0.6952892205190497, 8.259965227274012 -2.048825389265706, 8.13332214717345 -3.2925250226529093, 8.15141816621796 -4.644788854383409, 8.278828556122342 -5.1271346451042845, 9.404166675481154 -5.67382518530734, 9.704337046973594 -6.785403491248987, 9.05993630306105 -8.2252886779327, 9.348327733980478 -9.361028474152608, 8.672974316460875 -10.763593807207418, 8.974078916310111 -11.950451606049539, 8.288687589970902 -13.301095202852292, 8.596000164916864 -14.5311611716588, 7.905017745129907 -15.819597539566235, 8.214031223999898 -17.10516987722199, 7.524161795033649 -18.34348825808451, 7.82965848345801 -19.677964282172837)",POINT (7.432290579944615 -20)
17,2024-01-01 00:00:15,"LINESTRING (18.78610617668686 4.5928011945756335, 17.572213613839185 4.12754768057236, 16.358328839924464 3.6622945259568995, 15.144456191458804 3.1970360411253282, 13.930571581680798 2.7317744082287083, 12.716678654403598 2.266521289306742, 11.502785528873304 1.801266569249654, 10.288893470018909 1.3360171264840142, 9.075008095726965 0.8707709287769354, 7.861162987778993 0.4055887898070247, 6.647392684455181 -0.0591817994514021, 5.433148559809698 -0.5244619010119922, 4.2209444956044235 -0.9885690955288824, 3.177813759195649 -1.3698182735423252, 2.1955845700214773 -1.9708943351580819, 0.7553501441579635 -2.3034942371648413, -0.2296559146670589 -2.907119820164551, -1.6550197290493884 -3.2652924490311643, -2.885512230371943 -4.4543969008267155, -4.174693390082226 -4.645225017444152, -5.342557257579563 -5.326124020026263, -6.511465989895276 -5.514043653204511, -7.759604507483012 -6.6988196657703565, -9.009826626576599 -6.883597849036175, -10.244172665709069 -7.465058520487851, -11.508399591226528 -7.602717958108001, -12.724439410502598 -8.244979591950033, -14.0129293496913 -8.30080870390355, -15.193919865556364 -9.058408312053873, -16.533689814329676 -8.93780487220917, -17.662851902503974 -9.79477205848511, -19.027392699639062 -9.679835513227959)",POINT (-20 -10.272905792541376)
18,2024-01-01 00:00:16,"LINESTRING (-3.9458508774346512 18.712073389801844, -3.7690881926877937 17.424146780371956, -3.5923255655719477 16.13622020066673, -3.4155667069568474 14.848293838840558, -3.2390271312536365 13.560135845489656, -3.0623254882503246 12.272040988994679, -2.8855169464434907 10.983977998518908, -2.707837359823336 9.695034768962653, -2.5319016481246344 8.40612661698446, -2.3544186341454862 7.117647498506734, -2.1785108606867327 5.828169605999328, -2.001072526013878 4.539998233234217, -1.8251694107677543 3.250102110400599, -1.6476843619360593 1.9623288018687752, -1.4982057305892273 0.6874746861651759, -1.3272691170279227 -0.6278280648847343, -1.1351026989115962 -1.8467142127822145, -0.9643987013581155 -3.1939620025942066, -0.7726088847577852 -4.422129803799985, -0.6102488473881441 -5.772081111816746, -0.4147006230262864 -6.9998962959118725, -0.257186819027214 -8.350424973677235, -0.0556006732697631 -9.577558779670294, 0.0944729421820022 -10.928981698962094, 0.3049856005438644 -12.15415935904942, 0.2259811944763142 -13.39517680256772, 0.2384954796076474 -15.236492952894059, 0.6990254439113901 -16.183783403804725, 0.6867753338190613 -17.797748724262735, 1.4021983047625637 -18.725789932930073)",POINT (1.3672236160445042 -20)
19,2024-01-01 00:00:18,"LINESTRING (18.830335867564678 -17.26360651481689, 17.660671735129355 -17.83095633397111, 16.491007602694037 -18.398306153125333, 15.321343470258721 -18.965655972279556, 14.151679337823523 -19.533005791433904)",POINT (13.188911117276103 -20)
20,2024-01-01 00:00:19,"LINESTRING (-0.4881718475941003 18.70170394904756, -0.4294100165547289 17.410489039217342, -1.183092061521874 16.702313534864583, -2.099990336494798 15.00754770912067, -2.0753763099096383 13.649760496963438, -1.8236769604565821 12.415713566648137, -1.8891577861256192 11.041021721808084, -1.5687866712106426 9.795440144899763, -1.626077800751335 8.45131965634796, -1.288643309995381 7.210631368111533, -1.3650264203668283 5.864554101457532, -1.006622909930133 4.626119998014779, -1.1099524804673235 3.2829291919687944, -0.9507647832828543 2.060863435488438, -0.8358218313559036 0.6892678336807905, -0.6643783378639811 -0.5232525003634234, -0.5542677380088669 -1.895340636829212, -0.3772770784214179 -3.107211568090795, -0.2735565615431217 -4.480040757714906, -0.0884559182843552 -5.691020301765557, 0.008162806030407 -7.06585599759571, 0.21061699002865 -8.285969501302262, 0.283573768995236 -9.652161159025326, 0.4943695394907076 -10.84395089239007, 0.9307569742399673 -11.06151867926664, 1.0716835696882674 -12.234441317724325, 1.0617142145732645 -13.659024049342575, 1.23330224864571 -14.828811460273018, 1.164081088077815 -16.209391769309693, 1.5004958299471538 -17.152303745288826, 1.1399267945245102 -18.801209975450423, 1.6506877658793315 -19.959418723155483)",POINT (1.4572267173515931 -20)
21,2024-01-01 00:00:22,"LINESTRING (4.325889753634374 -18.749524441609935, 4.6812921687864355 -17.499048883125447, 5.036694581042241 -16.24857332860863, 5.392096988579904 -14.998097785993238, 5.747499163567177 -13.747622893656784, 6.102841976491934 -12.497348220847439, 6.433320100969131 -11.311481881493426, 6.1934621565042765 -10.947026991087947, 6.359420431804884 -9.668617399520933, 6.938404727729127 -8.443153488732241, 7.0958569195100925 -7.175066650456383, 7.679084097275485 -5.98873852465169, 7.539991621516733 -5.493969736961057, 7.844784585159613 -4.103117405906739, 8.190525419370545 -3.0183441767989043, 8.155963456382086 -1.018642831418954, 8.676496336151386 0.1492714525421868, 8.973672662103311 1.4283335972998719, 9.814328992538455 2.3468800869371322, 9.65755724500148 3.193752109203879, 10.285460685771495 4.660531260688694, 10.49426982764916 5.701256439890561, 11.15941061115651 7.18580784317869, 11.311879171385431 8.184434515854868, 12.022059529447432 9.67037756712049, 12.110618556066274 10.66263725598539, 12.881627143049752 12.134951502255877, 12.873419514161123 13.13433582056417, 12.757100167457615 14.047502166201715, 13.479036454091862 15.505945957895413, 13.788369896455892 16.540301420001896, 14.543085909428264 17.879777906248442, 14.702404095292893 18.974498600778904)",POINT (15.33903946667692 20)
22,2024-01-01 00:00:22,"LINESTRING (14.640233999230798 18.705293592626326, 14.7574317750454 17.41058718523043, 14.87462955096071 16.11588077792051, 14.991827325497967 14.821174373348772, 15.109024931265392 13.52646847121344, 15.226199705060084 12.231848608234175, 15.343177783233926 10.947627285236223, 15.571520619785677 9.791088023927585, 15.578930367846315 8.356847219164411, 15.80031102729722 7.2039980554175465, 15.508515812465342 5.863145993068864, 14.33547917482643 4.243274070120387, 14.156593012232882 2.7314060034321184, 14.79073648334263 1.6336175187730995, 14.555768624915805 0.1609934419904138, 15.240494126072432 -0.9189932393010891, 15.00239929361741 -2.3842105422634066, 15.693760888126791 -3.4804959404322187, 15.449971814426931 -4.9310315718371, 16.146174144027086 -6.040369076456284, 15.854140657699084 -7.302644385809322, 16.201534742480092 -7.796068356277118, 16.40182124659654 -9.27861282481935, 16.62316419405836 -10.362909860494772, 16.807146143210765 -11.84686681951817, 17.043822688812423 -12.92865508721015, 17.206804268622154 -14.415966701734453, 17.474114383741508 -15.492802049797238, 17.58683269761958 -16.983492117415405, 17.24878114420215 -17.77644897108917, 17.788184971568583 -19.049064093464153)",POINT (18.14386562991541 -20)
23,2024-01-01 00:00:23,"LINESTRING (-16.666652195650734 -18.731476281993565, -16.950989278802286 -17.46295256398713, -17.235326361953838 -16.194428845980696, -17.51966344510539 -14.92590512797426, -17.804000528256942 -13.657381409967828, -18.08833761136397 -12.388857692467543, -18.37267470378477 -11.120334045511038, -18.657011944022095 -9.851810721192932, -18.94134945364187 -8.583287532672855, -19.22568637230118 -7.314763731978902, -19.51002332458641 -6.0462400766113245, -19.794359991121777 -4.777716177173633)",POINT (-20 -3.8602864135656416)
24,2024-01-01 00:00:24,"LINESTRING (15.459003077489855 -18.71361115667425, 15.271376470528942 -17.427222313402986, 15.083749864367617 -16.140833471061217, 14.89612327551575 -14.854444666878955, 14.70849699271795 -13.568057226665115, 14.52088226066153 -12.28171964986921, 14.333445117748553 -10.997532047225551, 14.107938464500693 -9.763818414653471, 13.897443316648056 -8.700381492184016, 13.698196987032217 -7.22703903205349, 13.538676008618758 -6.149897590847064, 13.349737666785432 -4.666500477067474, 13.073438036724454 -3.6889190278640447, 11.94466048794732 -3.2341008119712344, 10.021544573716085 -2.684896678310026, 8.917679949088798 -1.5622578714014923, 8.780954524031905 -0.1853716089416051, 9.058134336886782 1.0444704633744433, 8.874645445181883 2.406395113828111, 9.192949126737135 3.638029227064516, 8.972172321307363 5.003135029010304, 9.337133832489746 6.232244211896815, 9.061380243270358 7.600952754850212, 9.493717969646928 8.826857100530257, 9.135272409588236 10.199662557135612, 9.672667494167664 11.420456056050718, 9.22076670650501 12.78717308687476, 9.755234029037368 13.989336323484501, 9.307615918225801 15.379935760474318, 9.84639426959456 16.606151440972994, 9.393976423893148 17.964768401350796, 9.934510057002068 19.20486379943559)",POINT (9.812418416275118 20)
25,2024-01-01 00:00:24,"LINESTRING (18.82434845117335 7.302895013409281, 17.648696927537507 7.857731368897725, 16.47304959639114 8.412558362033833, 15.2979558783309 8.96568397660598, 14.116841914510141 9.304922139363383, 12.36283165867845 9.896142040647376, 11.608531724431355 10.463293852742105, 10.031452923038042 11.02289261509944, 9.373510803990868 11.18855260154644, 9.356002315187176 10.586199069067405, 8.560140637762796 10.611672195598647, 7.001822472970206 11.284184814641845, 6.267344372711182 11.919512082526499, 4.71680438952934 12.568531685250004, 4.018469922838801 13.226575475630238, 2.46817905175847 13.845846918956275, 1.9100132038302644 14.590369863013423, 2.3390590290695426 15.175477900735382, 1.7708657054823718 15.686329086599079, 0.2140130370660134 16.047004708931546, -0.5805927111800993 16.791560265579296, -2.17639964115671 17.06972233769621, -2.951082457138952 17.918634082977256, -4.4924005177037 18.125462966188365, -5.332128846466826 19.044872966347242, -6.790846782019863 19.178883789853842)",POINT (-8.07974622492938 20)
26,2024-01-01 00:00:25,"LINESTRING (-6.008004210440754 18.77448103149949, -6.7196680487640155 17.291756476759883, -6.448503248855401 15.993552565502993, -5.34028668351035 15.242472353220792, -5.2170521457182275 14.318735240127404, -5.164419260815653 14.392502716802536, -4.754795780131128 13.53216221549908, -4.518041921345293 11.870967595659089, -4.127873228964443 11.007321339895359, -3.905594639551521 9.342788026882621, -3.5010909058058672 8.483611126506094, -3.295626354465819 6.81493139446102, -2.8729099327872247 5.960423337994689, -2.6866274896501285 4.286967080179449, -2.242771471297224 3.4378600158977948, -2.080049095849585 1.7586269131922283, -1.6099671746525712 0.916427703172823, -1.477820274429015 -0.764231368074969, -1.015443554513945 -1.573252402837098, -1.3217730546402258 -3.021875460164618, -0.6311671291046634 -4.392269641362925, -0.6966278031177305 -5.544347116329327, 0.052642058357353 -6.898287749261952, -0.0891071250214623 -8.068853655102622, 0.7482319143374693 -9.393266372180683, 0.591567004528718 -10.608334912280498, 1.433095032853939 -11.88349386974837, 1.2747151952011588 -13.145078603285565, 2.113483240217527 -14.367443230515116, 1.952335050845206 -15.602750971973602, 1.8287830470135997 -15.838765699930649, 1.8934065316688318 -17.056915849065824, 2.8791734116318475 -18.283585873091912, 2.865146881471994 -19.53058167077816)",POINT (3.3794826521832495 -20)
27,2024-01-01 00:00:25,"LINESTRING (7.246657069908078 18.748301154511267, 7.597728383633996 17.49660570488398, 8.062476270116504 16.16828826979185, 8.337638178601411 14.9680856507228, 8.787965830614661 13.653130467947191, 9.040553369821943 12.459852717744756, 9.277546182567656 11.460175661483119, 9.185753977964733 11.404903397864475, 9.335757399057453 12.118681362968644, 9.642129342239107 11.844760545396777, 9.737325093046959 10.593391716023515, 9.65404874989324 8.595126205469189, 10.103192357009478 7.4433410529590045, 9.887175893405349 5.544855103396026, 10.35380741030814 4.3771165347451, 10.729126412064776 3.233440126586209, 12.103243666607318 2.040753002947695, 12.479521528090023 0.782365455733864, 12.784307062347816 -0.4692568403548874, 13.164071638296985 -1.7259022907313366, 13.464182268693186 -2.978783889902364, 13.849732617080232 -4.233913246241205, 14.143284422036833 -5.488507888623189, 14.536227664386793 -6.741691021827314, 14.820806200833927 -7.998717444679259, 15.224378051498553 -9.249007660086589, 15.495802262961716 -10.509575755338435, 15.915968144995155 -11.755336841450902, 16.164789554613726 -13.020614898402675, 16.556548316357464 -14.24702809165979, 16.801106948967842 -15.582045221971208, 17.297399577218894 -16.739485528828485, 17.433186109597827 -18.104045366071112, 18.176801242358497 -19.18626309087664)",POINT (18.11457043052858 -20)
